title,credit,btn href
Keeping Track: A Guide to Recordkeeping for Advocacy Charities,Alliance for Justice,https://drive.google.com/file/d/1EQDOe1aQFIEeTB9XcWwKSWpDH5ta5QIg/preview
The Rules of the Game: A Guide to Election-Related Activities for 501(c) Organizations,Alliance for Justice,https://drive.google.com/file/d/1YFTHdm3RxCF6NLOomUw5hXo6yO5BQ3Ju/preview
Being A Player: A Guide to the IRS Lobbying Regulations for Advocacy Charities,Alliance for Justice,https://drive.google.com/file/d/1yOfgeQ2KBLh1TYod4_jVM_eVyZO36odH/preview
Birthing Rights,If/When/How,https://drive.google.com/file/d/1MqQwpOQnaPYBUbJbd3KEpJx_M_tto69f/preview
Maternal and Infant Health & Mortality,If/When/How,https://drive.google.com/file/d/1soLRU2U-6j-9TTNvhlEoa9EhzqrOzx8v/preview
Abortion Providers as Human Rights Defenders,If/When/How,https://drive.google.com/file/d/18QLg0CVA0Wf9hh3WhcVbUldgVLs5xC17/preview
State Violence and the Far-Reaching Impact of Dobbs,If/When/How,https://drive.google.com/file/d/19oGH7a0JuXABLlkpzaIS4u-sBKt8_4_s/preview
Expanding Political Support for Abortion Access and Rights,Ipas Partners for Reproductive Justice,https://drive.google.com/file/d/1MKp_rn_kgtwgVGrhVdLt9ithuDnE4gKy/preview
Confronting Pregnancy Criminalization,Pregnancy Justice,https://drive.google.com/file/d/1I4kx5AS_iVBp4HKjVo8hvy3-ep8cbmOh/preview
Misoprostol Use in Post-Abortion Care,Ipas Partners for Reproductive Justice,https://drive.google.com/file/d/1jXqP12rPIyUBkmJmTTOrP-x7GB_sEFeR/preview
Reproductive Freedom Conversation Guide,All Above All Action Fund,https://drive.google.com/file/d/1fgA5W5Y5uaLM-mu3EtJ5YpjoKK1uyVwc/preview
How to Talk About Abortion,International Planned Parenthood Federation,https://drive.google.com/file/d/1jnwJA5tXriNhpUghRJKgKFac7uBmldZ6/preview
Countering Anti-Abortion Pregnancy Centers Activism Toolkit,Repro Action,https://drive.google.com/file/d/1yTXXOyA3ltilRzB4wWoTxspFLi4eGCJx/preview
"We Are Brave: Race, Money and Abortion Access",Western States Center,https://drive.google.com/file/d/1Wqa8ZxPPfGPwTqOhy6YTXd0YxDqONyVa/preview
"Our Bodies, Our Labor: A Toolkit for Unions and Worker Justice Advocates for Abortion Access",National Women's Law Center,https://drive.google.com/file/d/1Ufvy4JWvZ3xQqIJA-L047qQEBdSTKHA5/preview
Whose Abortion Is It?,Human Rights Watch,https://drive.google.com/file/d/1npkVEh6xhiePFkLjgFbGivkFwakuQZ__/preview
Abortion Attitude Transformation: A Values Clarification Toolkit for Global Audiences,Ipas Partners for Reproductive Justice,https://drive.google.com/file/d/15cBt-9Ib3isk46_mHtAYyyB6amNWlVg4/preview
Story Sharing Toolkit,Planned Parenthood of Greater Ohio,https://drive.google.com/file/d/1LCumoTSYhr4KKdu_Nqk7MQjy8dCcJP4g/preview
